trial,T1,T2,error_1q,error_2q,p_phys,S_in,S_out,Delta_S,p_log,log_p_log,duration,qubit_count,gate_count,log_p_phys
0,84.03604888695193,79.16176064768901,0.0036867703148758847,0.030334265725654796,0.030334265725654796,0.0,0.18087007843263753,0.18087007843263753,0.106,-2.24431618487007,3.8,5,8,-3.495477323397406
1,62.07297859212559,28.81058033522484,0.00038460969962417733,0.043442631142971824,0.04344263114297183,0.0,0.23345043682736644,0.23345043682736644,0.134,-2.0099154790312257,3.8,5,8,-3.1363140356011296
2,115.04753106625044,66.71787091070037,0.00020086402204943198,0.04852558275593773,0.048525582755937734,0.0,0.2518593156762301,0.2518593156762301,0.166,-1.7957674906255938,3.8,5,8,-3.0256641406032405
3,158.54421990210383,33.556827221388396,0.000990942339314793,0.009986820982818258,0.009986820982818258,0.0,0.07717486620610287,0.07717486620610287,0.039,-3.2441936328524905,3.8,5,8,-4.606488956902496
4,76.23283773417667,44.87744912109094,0.002216530591346367,0.015270227869704053,0.015270227869704051,0.0,0.10783158300586033,0.10783158300586033,0.059,-2.8302178350764176,3.8,5,8,-4.181850237158024
5,116.77292338861145,30.333580837727425,0.001531508777822569,0.018951730321390896,0.018951730321390896,0.0,0.12733728023945318,0.12733728023945318,0.06,-2.8134107167600364,3.8,5,8,-3.96586004178626
6,94.09173896915722,70.77767803975705,0.0010784015325759628,0.02619748748226697,0.02619748748226697,0.0,0.16242515943201466,0.16242515943201466,0.079,-2.5383074265151158,3.8,5,8,-3.642091770436955
7,113.66823448993499,26.662811587691923,0.0030769697743170477,0.009355682060677287,0.009355682060677287,0.0,0.0732487360972686,0.0732487360972686,0.03,-3.506557897319982,3.8,5,8,-4.67177141323637
8,54.7185985649407,52.57098125903556,0.004831596962065341,0.0406114700577066,0.0406114700577066,0.0,0.22275553329873565,0.22275553329873565,0.133,-2.017406150760383,3.8,5,8,-3.2037047385373256
9,76.27211116577324,27.8775688207456,0.0034527418299095686,0.022567472193240467,0.022567472193240467,0.0,0.1453346376282503,0.1453346376282503,0.07,-2.659260036932778,3.8,5,8,-3.791245692952224
10,59.216719276882586,38.31650669810099,0.00026850375346457016,0.045556699701860326,0.045556699701860326,0.0,0.24122624870213624,0.24122624870213624,0.151,-1.8904754421672127,3.8,5,8,-3.0887975815286994
11,71.57660213174356,50.18810202333092,0.0016273842728381136,0.02648333303771273,0.02648333303771273,0.0,0.16373337152989373,0.16373337152989373,0.076,-2.577021938695806,3.8,5,8,-3.6312396858300366
12,106.68967455808355,32.302302554055885,0.004850964676046337,0.03898150834469462,0.03898150834469462,0.0,0.21644464900815905,0.21644464900815905,0.145,-1.9310215365615626,3.8,5,8,-3.244667890302609
13,183.9097393787114,86.4330335022724,0.003029709896174317,0.04617183751613273,0.04617183751613272,0.0,0.24345637325371744,0.24345637325371744,0.168,-1.783791299578878,3.8,5,8,-3.0753852443352754
14,56.525940802020216,29.33447119228352,0.0003216137156616365,0.016941186207399955,0.016941186207399955,0.0,0.11684714492026463,0.11684714492026463,0.063,-2.7646205525906042,3.8,5,8,-4.0780075681602135
15,85.69925568298942,34.923824071517714,0.004160813794844454,0.018480913007985877,0.018480913007985877,0.0,0.12491379104366597,0.12491379104366597,0.064,-2.7488721956224653,3.8,5,8,-3.9910168087949542
16,73.80901894391269,44.988251420731565,0.000790528702376337,0.040307652056947946,0.040307652056947946,0.0,0.22158792824420603,0.22158792824420603,0.139,-1.973281345851445,3.8,5,8,-3.2112139507102997
17,55.443924597772806,54.86785377994503,0.003883999369553621,0.010737068395174448,0.010737068395174446,0.0,0.08175907297572274,0.08175907297572274,0.04,-3.2188758248682006,3.8,5,8,-4.534053188505308
18,50.38423281993188,44.272034409884874,0.0035636009848533236,0.03672135123400838,0.03672135123400838,0.0,0.20749795388532105,0.20749795388532105,0.107,-2.234926444520231,3.8,5,8,-3.3043969155951136
19,145.65353271548778,27.70252344214003,0.0018564820698669358,0.006677583916731357,0.006677583916731356,0.0,0.05576999380267435,0.05576999380267435,0.018,-4.017383521085972,3.8,5,8,-5.008999045970938
20,165.4283908973157,59.32023645687855,0.001721400321777981,0.004114359164015159,0.004114359164015159,0.0,0.03742314647340981,0.03742314647340981,0.016,-4.135166556742356,3.8,5,8,-5.493272188690106
21,76.94847518511578,36.03412830629383,0.0036750702738565138,0.032240316096405444,0.032240316096405444,0.0,0.18903746547169625,0.18903746547169625,0.125,-2.0794415416798357,3.8,5,8,-3.434537556912696
22,171.0508751200051,48.11070516043782,0.0006860118050976783,0.03594899457392676,0.03594899457392676,0.0,0.20438641641805694,0.20438641641805694,0.112,-2.1892564076870427,3.8,5,8,-3.325654162551745
23,143.55166831664397,54.43303545185014,0.0038777391817773487,0.02519598422185515,0.02519598422185515,0.0,0.15779977254547523,0.15779977254547523,0.084,-2.4769384801388235,3.8,5,8,-3.6810706534389093
24,103.20162294888074,45.221540260865886,0.00022455372104606644,0.006286679922671918,0.006286679922671918,0.0,0.05309014411305975,0.05309014411305975,0.024,-3.7297014486341915,3.8,5,8,-5.069322181856715
25,52.22666082724182,39.95406320162527,0.0016403443072740007,0.025919963867070437,0.025919963867070437,0.0,0.16115000110112085,0.16115000110112085,0.09,-2.4079456086518722,3.8,5,8,-3.652741801516379
26,175.94602829129994,35.32066616523607,0.0021108763228745854,0.03802200578860939,0.03802200578860939,0.0,0.21267490063478722,0.21267490063478722,0.128,-2.05572501506252,3.8,5,8,-3.2695901871690287
27,68.66259704867731,27.02198634761684,0.0015197821192774632,0.008899843075446216,0.008899843075446216,0.0,0.07037102715000712,0.07037102715000712,0.035,-3.3524072174927233,3.8,5,8,-4.721721634371823
28,181.42777097105977,76.6437873742776,0.0032036784069010746,0.04370156891919817,0.043701568919198165,0.0,0.2344122851997351,0.2344122851997351,0.143,-1.9449106487222299,3.8,5,8,-3.1303712754839075
29,152.34521146965238,32.37921956094317,0.004473539092600891,0.027427769853866888,0.027427769853866888,0.0,0.1680189762419152,0.1680189762419152,0.088,-2.430418464503931,3.8,5,8,-3.5961992805144702
30,153.1430940394842,86.5846147492653,0.001658217027362133,0.006392544301856162,0.006392544301856162,0.0,0.05381958180354694,0.05381958180354694,0.03,-3.506557897319982,3.8,5,8,-5.052622920536492
31,68.58049987638134,38.47020853246744,0.004108272353020216,0.04317579857956083,0.04317579857956083,0.0,0.2324564573791899,0.2324564573791899,0.141,-1.9589953886039688,3.8,5,8,-3.1424751587785664
32,50.484214576888455,35.79546847828833,0.0021453139154290167,0.011883282713065782,0.011883282713065782,0.0,0.08860175603431719,0.08860175603431719,0.041,-3.1941832122778293,3.8,5,8,-4.432622680569075
33,59.0386130464963,33.414632317157626,0.004720257549171344,0.01683694366901701,0.01683694366901701,0.0,0.11629291203737047,0.11629291203737047,0.057,-2.864704011147587,3.8,5,8,-4.084179778978341
34,102.63915821642345,66.25209210724199,0.0018817850516585405,0.048617322053327076,0.048617322053327076,0.0,0.2521827284138096,0.2521827284138096,0.155,-1.8643301620628905,3.8,5,8,-3.02377539072816
35,189.8545520127785,35.4428025665091,0.0025365176788726884,0.015743037181021713,0.015743037181021713,0.0,0.11041166008840148,0.11041166008840148,0.053,-2.9374633654300153,3.8,5,8,-4.151357095202976
36,74.20976732382897,26.023749399909235,0.0030868652365014944,0.025631272138214214,0.025631272138214214,0.0,0.15981821189862352,0.15981821189862352,0.096,-2.3434070875143007,3.8,5,8,-3.6639421051046304
37,53.69864175561964,30.935498954260606,0.0045505028412366035,0.012738532642681648,0.012738532642681648,0.0,0.09359009546689451,0.09359009546689451,0.045,-3.101092789211817,3.8,5,8,-4.363123812655065
38,61.12310526245793,38.7237654521363,0.004929687225141944,0.01286070830406352,0.012860708304063518,0.0,0.09429496099897483,0.09429496099897483,0.043,-3.146555163288575,3.8,5,8,-4.353578483612926
39,126.95094153507999,71.85892363374468,0.0012644239655627584,0.03668260108198112,0.03668260108198112,0.0,0.20734251476668844,0.20734251476668844,0.113,-2.1803674602697964,3.8,5,8,-3.30545272129506
40,83.25254412318436,53.492504951335775,0.0032042955827283836,0.027252959519663167,0.027252959519663167,0.0,0.16722993534642855,0.16722993534642855,0.098,-2.322787800311565,3.8,5,8,-3.602593157543942
41,56.66695318194754,49.521984568385136,0.0016718223183615057,0.010139407009592857,0.010139407009592857,0.0,0.07811431714692584,0.07811431714692584,0.039,-3.2441936328524905,3.8,5,8,-4.591325762845426
42,52.90772477729863,38.933405023006024,0.0034200653730271837,0.0018128036174649515,0.0018128036174649515,0.0,0.018749888092877608,0.018749888092877608,0.009,-4.710530701645918,3.8,5,8,-6.312880672180083
43,101.69058519855385,34.221894895255346,0.003261346673006304,0.009543955021244582,0.009543955021244582,0.0,0.07442685257687694,0.07442685257687694,0.039,-3.2441936328524905,3.8,5,8,-4.651847306975856
44,130.30346752637638,42.73442727246197,0.0046899769448099995,0.00773852626315367,0.007738526263153671,0.0,0.06286683314800078,0.06286683314800078,0.03,-3.506557897319982,3.8,5,8,-4.861544014787191
45,80.22549560437939,28.536444944103547,0.004630998729564958,0.04398962831566807,0.04398962831566807,0.0,0.23547917648087452,0.23547917648087452,0.139,-1.973281345851445,3.8,5,8,-3.123801392948678
46,71.4934637493145,50.01590208500651,0.004104388780985958,0.028204839768373655,0.028204839768373655,0.0,0.17150378244678166,0.17150378244678166,0.081,-2.513306124309698,3.8,5,8,-3.5682616927716366
47,104.19609114032882,34.95824299580882,0.0005562035622489062,0.04496357213971301,0.044963572139713005,0.0,0.23906222450375436,0.23906222450375436,0.145,-1.9310215365615626,3.8,5,8,-3.101902625046733
48,174.21104747076078,60.13191938332644,0.0017612459761386333,0.018111269156020383,0.018111269156020383,0.0,0.12299721622389924,0.12299721622389924,0.062,-2.7806208939370456,3.8,5,8,-4.011220929143636
49,136.7851257622636,86.70700874338606,0.0044467234788990746,0.03921390174702357,0.03921390174702357,0.0,0.217351517663535,0.217351517663535,0.12,-2.120263536200091,3.8,5,8,-3.238723958650684
50,121.7619435533777,28.092947997078323,0.0008919806990636075,0.045029155237826884,0.045029155237826884,0.0,0.23930217071376486,0.23930217071376486,0.149,-1.903808973036678,3.8,5,8,-3.100445104830706
51,115.89819671523895,25.32078615737052,0.0005972105600435574,0.03351158668629474,0.03351158668629474,0.0,0.19437714224863492,0.19437714224863492,0.115,-2.162823150618887,3.8,5,8,-3.395864028718104
52,50.35207604418783,27.97938076124306,0.002788795567896272,0.034902864686941974,0.034902864686941974,0.0,0.2001263542784117,0.2001263542784117,0.107,-2.234926444520231,3.8,5,8,-3.3551863704219573
53,123.44963055840839,34.116430597428064,0.0035896781846029256,0.012625205287343205,0.012625205287343205,0.0,0.0929345814118336,0.0929345814118336,0.043,-3.146555163288575,3.8,5,8,-4.372060043569292
54,78.5018955865717,58.73561877829226,0.0032832012053313517,0.04261194711421472,0.04261194711421471,0.0,0.23034661101794984,0.23034661101794984,0.147,-1.9173226922034008,3.8,5,8,-3.155620616334709
55,124.42063587951995,54.966221226885196,0.0005590063623576531,0.019018074349912244,0.019018074349912244,0.0,0.1276772135837301,0.1276772135837301,0.066,-2.7181005369557116,3.8,5,8,-3.9623654704229394
56,72.2167166971744,32.38511799391631,0.004867751718286984,0.02026178850867126,0.02026178850867126,0.0,0.13398018729194958,0.13398018729194958,0.069,-2.6736487743848776,3.8,5,8,-3.899018506235979
57,172.20095101724377,59.968519118669384,0.003994575387354077,0.025629217562154416,0.025629217562154416,0.0,0.1598087141922791,0.1598087141922791,0.091,-2.396895772465287,3.8,5,8,-3.6640222672752576
58,111.25018762856524,49.48404659220071,0.001056690640210418,0.036400153647813766,0.036400153647813766,0.0,0.20620739626881215,0.20620739626881215,0.115,-2.162823150618887,3.8,5,8,-3.3131822832545663
59,73.79242973572424,25.666713259197415,0.003262814249945122,0.009678423290945398,0.009678423290945398,0.0,0.07526464519347491,0.07526464519347491,0.035,-3.3524072174927233,3.8,5,8,-4.637856274127353
60,184.15456603602613,93.81283047240578,0.004582835512080198,0.01913777631251678,0.01913777631251678,0.0,0.12828957390167486,0.12828957390167486,0.063,-2.7646205525906042,3.8,5,8,-3.9560910798260522
61,51.082931800290154,48.53225804746346,0.00219810232675484,0.048366086133139814,0.048366086133139814,0.0,0.25129631334843355,0.25129631334843355,0.132,-2.0249533563957662,3.8,5,8,-3.028956410592859
62,190.16344627761654,81.56481848351675,0.0015427995711409699,0.019869788701494338,0.019869788701494338,0.0,0.1320076310710272,0.1320076310710272,0.073,-2.617295837833746,3.8,5,8,-3.9185548565215393
63,162.70666424214016,38.79234811042266,0.0009305144587618532,0.02828326186045916,0.028283261860459163,0.0,0.17185343913879275,0.17185343913879275,0.09,-2.4079456086518722,3.8,5,8,-3.5654851030047015
64,183.05910704026982,65.61327295862733,0.002893299733437888,0.005761648194767658,0.005761648194767658,0.0,0.0494301419726839,0.0494301419726839,0.015,-4.199705077879927,3.8,5,8,-5.156531700281048
65,117.28466991410005,98.63063315799555,0.0007864116746589678,0.026398152965823103,0.026398152965823107,0.0,0.16334408010614326,0.16334408010614326,0.089,-2.419118909249997,3.8,5,8,-3.634461234693212
66,168.73346632855916,69.8115300127358,0.003515377130876813,0.03542172011536836,0.03542172011536836,0.0,0.2022458752476091,0.2022458752476091,0.123,-2.0955709236097197,3.8,5,8,-3.3404300844139434
67,82.30102493384061,35.470195435218635,0.004065869661844717,0.04069555633927986,0.04069555633927986,0.0,0.2230779896078943,0.2230779896078943,0.13,-2.0402208285265546,3.8,5,8,-3.2016363733473256
68,166.34109533892496,88.66773360880931,0.002605577754418595,0.025574298439672783,0.025574298439672783,0.0,0.1595547362032489,0.1595547362032489,0.072,-2.631089159966082,3.8,5,8,-3.6661673990095425
69,151.2138576301784,61.55414272561648,0.0035396376985627463,0.03999384080236895,0.03999384080236895,0.0,0.2203777580400174,0.2203777580400174,0.14,-1.9661128563728327,3.8,5,8,-3.2190298166651052
70,171.71435888460528,39.94232764759479,0.0019403564679357256,0.005605115052202582,0.005605115052202581,0.0,0.04832471011882393,0.04832471011882393,0.016,-4.135166556742356,3.8,5,8,-5.184075695959927
71,111.46264407404155,26.277219795132478,0.0023814302888490544,0.027589587100671255,0.02758958710067126,0.0,0.16874769046851867,0.16874769046851867,0.088,-2.430418464503931,3.8,5,8,-3.590316856407832
72,74.38494189586206,47.61306689448466,0.0002494512247013422,0.0028300612487115063,0.0028300612487115063,0.0,0.027357202012610028,0.027357202012610028,0.013,-4.3428059215206005,3.8,5,8,-5.867456924906947
73,156.3957297148064,41.190435443902516,0.0007225965119942355,0.026589919742685417,0.026589919742685417,0.0,0.16421984475688195,0.16421984475688195,0.081,-2.513306124309698,3.8,5,8,-3.6272230920587507
74,145.3959522785376,33.719196298925745,0.003152163331513101,0.005182025784694632,0.005182025784694632,0.0,0.045302032979467825,0.045302032979467825,0.018,-4.017383521085972,3.8,5,8,-5.262559221035487
75,53.713753393450475,37.53419054038104,0.0027491120958895218,0.032234065173412124,0.032234065173412124,0.0,0.1890110009592305,0.1890110009592305,0.102,-2.282782465697866,3.8,5,8,-3.4347314609995534
76,136.81085165774303,96.70779989045242,0.002629871706675857,0.016824867174121055,0.016824867174121055,0.0,0.11622863571480734,0.11622863571480734,0.067,-2.703062659591171,3.8,5,8,-4.084897298036977
77,150.5635332991215,36.391274981579905,0.0022509599614576165,0.004844362685771032,0.004844362685771032,0.0,0.04285108935227182,0.04285108935227182,0.015,-4.199705077879927,3.8,5,8,-5.3299395828961655
78,51.78842134260487,50.398619464282554,0.004196302590509808,0.0351027360985912,0.0351027360985912,0.0,0.20094438483057217,0.20094438483057217,0.12,-2.120263536200091,3.8,5,8,-3.3494762000215643
79,88.14226582816627,31.100997657264145,0.0008665415090883216,0.01326190201006517,0.01326190201006517,0.0,0.09659641685235829,0.09659641685235829,0.046,-3.079113882493042,3.8,5,8,-4.322859864837817
80,107.0625061670771,67.32395541285396,0.003334967145916883,0.0147167609503512,0.014716760950351201,0.0,0.1047808945353414,0.1047808945353414,0.042,-3.170085660698769,3.8,5,8,-4.21876823402842
81,187.86945994243845,69.53416117937233,0.0028163348573058632,0.030974316565483263,0.030974316565483263,0.0,0.183634832416685,0.183634832416685,0.098,-2.322787800311565,3.8,5,8,-3.474596915778683
82,89.45289786400645,34.284463864149195,0.0018442661253911818,0.03813445941275409,0.03813445941275409,0.0,0.2131188560092399,0.2131188560092399,0.122,-2.1037342342488805,3.8,5,8,-3.2666369590858126
83,51.00770080757078,27.157338834209323,0.0003254129459065885,0.0029957113136295367,0.0029957113136295367,0.0,0.028699025123437204,0.028699025123437204,0.013,-4.3428059215206005,3.8,5,8,-5.810573575236333
84,163.68489197720027,66.31079785359265,0.0024234517625278933,0.005793873871899073,0.005793873871899073,0.0,0.049656884770965116,0.049656884770965116,0.021,-3.863232841258714,3.8,5,8,-5.150954148615609
85,98.84444195154146,47.93011307578276,0.0009486891625590744,0.02225873081266068,0.02225873081266068,0.0,0.1438379359765215,0.1438379359765215,0.087,-2.4418471603275536,3.8,5,8,-3.8050209512624567
86,86.87478869574512,53.83769158660513,0.003211958889251454,0.0032198964788301815,0.0032198964788301815,0.0,0.03049264226083327,0.03049264226083327,0.012,-4.422848629194137,3.8,5,8,-5.7384060693742445
87,84.0444949754354,53.39475564366076,0.0025653676670424294,0.042968002218227795,0.042968002218227795,0.0,0.23168041140953505,0.23168041140953505,0.157,-1.851509473633829,3.8,5,8,-3.1472995747538683
88,124.60718542737378,31.335476881181176,0.0004457868622621062,0.03247854463210947,0.03247854463210947,0.0,0.19004451367397238,0.19004451367397238,0.11,-2.2072749131897207,3.8,5,8,-3.4271755728172826
89,51.87181015840455,38.33767993920682,0.004707128182982292,0.02919823471591807,0.029198234715918075,0.0,0.17590600369559722,0.17590600369559722,0.102,-2.282782465697866,3.8,5,8,-3.5336470264696866
90,85.63899986450299,55.198405538013134,0.0023454391634084313,0.027735222676480813,0.02773522267648081,0.0,0.16940216027754726,0.16940216027754726,0.093,-2.375155785828881,3.8,5,8,-3.585052096789635
91,184.41162676907874,42.69696047582274,0.00480983376273718,0.045362181455847125,0.04536218145584712,0.0,0.24051803956952547,0.24051803956952547,0.144,-1.9379419794061366,3.8,5,8,-3.0930765286589046
92,65.59156802890419,26.729818683606823,0.0005938122067493906,0.0018928694569259367,0.0018928694569259367,0.0,0.019454019866022104,0.019454019866022104,0.006,-5.115995809754082,3.8,5,8,-6.269661370080602
93,56.99415674713523,43.89161124871802,0.000448824377455122,0.016629805884394305,0.016629805884394305,0.0,0.11518845460416938,0.11518845460416938,0.059,-2.8302178350764176,3.8,5,8,-4.0965586584615235
94,161.30046772928065,25.819695138156188,0.004090895564685786,0.014810883963896598,0.014810883963896598,0.0,0.10530206167314869,0.10530206167314869,0.043,-3.146555163288575,3.8,5,8,-4.212392965522342
95,58.899596476611244,45.419912109467525,0.0031818199492214313,0.043996128662825595,0.043996128662825595,0.0,0.23550321403663343,0.23550321403663343,0.13,-2.0402208285265546,3.8,5,8,-3.123653633870559
96,138.52458909702858,76.1524237854658,0.0014819694055994018,0.00969453764520642,0.00969453764520642,0.0,0.07536484293223568,0.07536484293223568,0.032,-3.4420193761824103,3.8,5,8,-4.6361926814498515
97,141.54193066882104,76.50730865707814,0.0049534751958032995,0.021218266168659898,0.021218266168659895,0.0,0.1387407908305845,0.1387407908305845,0.064,-2.7488721956224653,3.8,5,8,-3.8528928565492406
98,83.7427483421828,63.90905622173725,0.0017699373472397873,0.04660710895457468,0.04660710895457468,0.0,0.2450257700988212,0.2450257700988212,0.166,-1.7957674906255938,3.8,5,8,-3.0660021968122364
99,164.35615711193125,45.31272173080003,0.003779268232178337,0.03797260083014944,0.03797260083014944,0.0,0.21247967368063397,0.21247967368063397,0.142,-1.9519282213808764,3.8,5,8,-3.270890410109008
