trial,entropy_type,Delta_S,p_log,log_p_log,duration,qubit_count,gate_count
0,low,1.110223024625156e-15,0.733,-0.3106095770954856,3.9499999999999993,5,11
1,high,0.6931471805599454,0.036,-3.3242363405260273,4.45,5,11
2,low,1.110223024625156e-15,0.73,-0.31471074483970024,3.9499999999999993,5,11
3,high,0.6931471805599454,0.058,-2.8473122684357177,4.45,5,11
4,low,1.110223024625156e-15,0.737,-0.3051673867928005,3.9499999999999993,5,11
5,high,0.6931471805599454,0.044,-3.123565645063876,4.45,5,11
6,low,1.110223024625156e-15,0.735,-0.3078847797693004,3.9499999999999993,5,11
7,high,0.6931471805599454,0.046,-3.079113882493042,4.45,5,11
8,low,1.110223024625156e-15,0.742,-0.2984060358147566,3.9499999999999993,5,11
9,high,0.6931471805599454,0.047,-3.0576076772720784,4.45,5,11
10,low,1.110223024625156e-15,0.751,-0.28634962721800233,3.9499999999999993,5,11
11,high,0.6931471805599454,0.045,-3.101092789211817,4.45,5,11
12,low,1.110223024625156e-15,0.739,-0.3024573580339353,3.9499999999999993,5,11
13,high,0.6931471805599454,0.052,-2.9565115604007097,4.45,5,11
14,low,1.110223024625156e-15,0.754,-0.282362910974181,3.9499999999999993,5,11
15,high,0.6931471805599454,0.057,-2.864704011147587,4.45,5,11
16,low,1.110223024625156e-15,0.739,-0.3024573580339353,3.9499999999999993,5,11
17,high,0.6931471805599454,0.042,-3.170085660698769,4.45,5,11
18,low,1.110223024625156e-15,0.751,-0.28634962721800233,3.9499999999999993,5,11
19,high,0.6931471805599454,0.046,-3.079113882493042,4.45,5,11
20,low,1.110223024625156e-15,0.742,-0.2984060358147566,3.9499999999999993,5,11
21,high,0.6931471805599454,0.049,-3.0159349808715104,4.45,5,11
22,low,1.110223024625156e-15,0.759,-0.27575350158650713,3.9499999999999993,5,11
23,high,0.6931471805599454,0.031,-3.473768074496991,4.45,5,11
24,low,1.110223024625156e-15,0.742,-0.2984060358147566,3.9499999999999993,5,11
25,high,0.6931471805599454,0.045,-3.101092789211817,4.45,5,11
26,low,1.110223024625156e-15,0.756,-0.27971390280260405,3.9499999999999993,5,11
27,high,0.6931471805599454,0.048,-3.036554268074246,4.45,5,11
28,low,1.110223024625156e-15,0.74,-0.3011050927839216,3.9499999999999993,5,11
29,high,0.6931471805599454,0.039,-3.2441936328524905,4.45,5,11
30,low,1.110223024625156e-15,0.738,-0.30381145438166457,3.9499999999999993,5,11
31,high,0.6931471805599454,0.05,-2.995732273553991,4.45,5,11
32,low,1.110223024625156e-15,0.786,-0.24079848655293046,3.9499999999999993,5,11
33,high,0.6931471805599454,0.037,-3.2968373663379125,4.45,5,11
34,low,1.110223024625156e-15,0.752,-0.28501895503229724,3.9499999999999993,5,11
35,high,0.6931471805599454,0.041,-3.1941832122778293,4.45,5,11
36,low,1.110223024625156e-15,0.743,-0.2970592342643779,3.9499999999999993,5,11
37,high,0.6931471805599454,0.046,-3.079113882493042,4.45,5,11
38,low,1.110223024625156e-15,0.764,-0.2691874898156165,3.9499999999999993,5,11
39,high,0.6931471805599454,0.042,-3.170085660698769,4.45,5,11
40,low,1.110223024625156e-15,0.744,-0.2957142441490452,3.9499999999999993,5,11
41,high,0.6931471805599454,0.043,-3.146555163288575,4.45,5,11
42,low,1.110223024625156e-15,0.748,-0.2903523010076598,3.9499999999999993,5,11
43,high,0.6931471805599454,0.042,-3.170085660698769,4.45,5,11
44,low,1.110223024625156e-15,0.744,-0.2957142441490452,3.9499999999999993,5,11
45,high,0.6931471805599454,0.049,-3.0159349808715104,4.45,5,11
46,low,1.110223024625156e-15,0.754,-0.282362910974181,3.9499999999999993,5,11
47,high,0.6931471805599454,0.057,-2.864704011147587,4.45,5,11
48,low,1.110223024625156e-15,0.766,-0.26657310924154576,3.9499999999999993,5,11
49,high,0.6931471805599454,0.041,-3.1941832122778293,4.45,5,11
50,low,1.110223024625156e-15,0.743,-0.2970592342643779,3.9499999999999993,5,11
51,high,0.6931471805599454,0.049,-3.0159349808715104,4.45,5,11
52,low,1.110223024625156e-15,0.714,-0.33687231664255274,3.9499999999999993,5,11
53,high,0.6931471805599454,0.056,-2.8824035882469876,4.45,5,11
54,low,1.110223024625156e-15,0.757,-0.2783920255446883,3.9499999999999993,5,11
