trial,circuit_type,S_subsystem,p_log,log_p_log,duration,n_measurements,is_measurement_heavy
0,unitary,0.0832827573454954,0.044,-3.123565645063876,6.099999999999999,2,0
1,measurement,0.0582707661654179,0.096,-2.3434070875143007,16.5,6,1
2,unitary,0.0832827573454954,0.041,-3.1941832122778293,6.099999999999999,2,0
3,measurement,0.0582707661654179,0.103,-2.2730262907525014,16.5,6,1
4,unitary,0.0832827573454954,0.043,-3.146555163288575,6.099999999999999,2,0
5,measurement,0.0582707661654179,0.094,-2.364460496712133,16.5,6,1
6,unitary,0.0832827573454954,0.045,-3.101092789211817,6.099999999999999,2,0
7,measurement,0.0582707661654179,0.105,-2.2537949288246137,16.5,6,1
8,unitary,0.0832827573454954,0.044,-3.123565645063876,6.099999999999999,2,0
9,measurement,0.0582707661654179,0.104,-2.2633643798407643,16.5,6,1
10,unitary,0.0832827573454954,0.036,-3.3242363405260273,6.099999999999999,2,0
11,measurement,0.0582707661654179,0.094,-2.364460496712133,16.5,6,1
12,unitary,0.0832827573454954,0.04,-3.2188758248682006,6.099999999999999,2,0
13,measurement,0.0582707661654179,0.105,-2.2537949288246137,16.5,6,1
14,unitary,0.0832827573454954,0.035,-3.3524072174927233,6.099999999999999,2,0
15,measurement,0.0582707661654179,0.093,-2.375155785828881,16.5,6,1
16,unitary,0.0832827573454954,0.045,-3.101092789211817,6.099999999999999,2,0
17,measurement,0.0582707661654179,0.088,-2.430418464503931,16.5,6,1
18,unitary,0.0832827573454954,0.045,-3.101092789211817,6.099999999999999,2,0
19,measurement,0.0582707661654179,0.093,-2.375155785828881,16.5,6,1
20,unitary,0.0832827573454954,0.041,-3.1941832122778293,6.099999999999999,2,0
21,measurement,0.0582707661654179,0.101,-2.2926347621408776,16.5,6,1
22,unitary,0.0832827573454954,0.042,-3.170085660698769,6.099999999999999,2,0
23,measurement,0.690051920067625,0.097,-2.333044300478754,16.5,6,1
24,unitary,0.0832827573454954,0.037,-3.2968373663379125,6.099999999999999,2,0
25,measurement,0.0582707661654179,0.099,-2.312635428847547,16.5,6,1
26,unitary,0.0832827573454954,0.038,-3.270169119255751,6.099999999999999,2,0
27,measurement,0.06782052788046526,0.091,-2.396895772465287,16.5,6,1
28,unitary,0.0832827573454954,0.037,-3.2968373663379125,6.099999999999999,2,0
29,measurement,0.0582707661654179,0.093,-2.375155785828881,16.5,6,1
30,unitary,0.0832827573454954,0.039,-3.2441936328524905,6.099999999999999,2,0
31,measurement,0.0582707661654179,0.105,-2.2537949288246137,16.5,6,1
32,unitary,0.0832827573454954,0.042,-3.170085660698769,6.099999999999999,2,0
33,measurement,0.10136178665347428,0.092,-2.385966701933097,16.5,6,1
34,unitary,0.0832827573454954,0.046,-3.079113882493042,6.099999999999999,2,0
35,measurement,0.0582707661654179,0.104,-2.2633643798407643,16.5,6,1
36,unitary,0.0832827573454954,0.055,-2.900422093749666,6.099999999999999,2,0
37,measurement,0.0582707661654179,0.094,-2.364460496712133,16.5,6,1
38,unitary,0.0832827573454954,0.038,-3.270169119255751,6.099999999999999,2,0
39,measurement,0.0582707661654179,0.107,-2.234926444520231,16.5,6,1
40,unitary,0.0832827573454954,0.036,-3.3242363405260273,6.099999999999999,2,0
41,measurement,0.0582707661654179,0.102,-2.282782465697866,16.5,6,1
42,unitary,0.0832827573454954,0.047,-3.0576076772720784,6.099999999999999,2,0
43,measurement,0.0582707661654179,0.092,-2.385966701933097,16.5,6,1
44,unitary,0.0832827573454954,0.034,-3.3813947543659757,6.099999999999999,2,0
45,measurement,0.0582707661654179,0.082,-2.501036031717884,16.5,6,1
46,unitary,0.0832827573454954,0.034,-3.3813947543659757,6.099999999999999,2,0
47,measurement,0.0582707661654179,0.095,-2.353878387381596,16.5,6,1
48,unitary,0.0832827573454954,0.042,-3.170085660698769,6.099999999999999,2,0
49,measurement,0.0582707661654179,0.101,-2.2926347621408776,16.5,6,1
50,unitary,0.0832827573454954,0.042,-3.170085660698769,6.099999999999999,2,0
51,measurement,0.0582707661654179,0.097,-2.333044300478754,16.5,6,1
52,unitary,0.0832827573454954,0.036,-3.3242363405260273,6.099999999999999,2,0
53,measurement,0.0582707661654179,0.094,-2.364460496712133,16.5,6,1
54,unitary,0.0832827573454954,0.035,-3.3524072174927233,6.099999999999999,2,0
55,measurement,0.0582707661654179,0.095,-2.353878387381596,16.5,6,1
56,unitary,0.0832827573454954,0.035,-3.3524072174927233,6.099999999999999,2,0
57,measurement,0.0582707661654179,0.093,-2.375155785828881,16.5,6,1
58,unitary,0.0832827573454954,0.038,-3.270169119255751,6.099999999999999,2,0
59,measurement,0.6931471554088746,0.094,-2.364460496712133,16.5,6,1
60,unitary,0.0832827573454954,0.044,-3.123565645063876,6.099999999999999,2,0
61,measurement,0.0582707661654179,0.087,-2.4418471603275536,16.5,6,1
62,unitary,0.0832827573454954,0.047,-3.0576076772720784,6.099999999999999,2,0
63,measurement,0.0582707661654179,0.114,-2.1715568305876416,16.5,6,1
64,unitary,0.0832827573454954,0.046,-3.079113882493042,6.099999999999999,2,0
65,measurement,0.0582707661654179,0.099,-2.312635428847547,16.5,6,1
66,unitary,0.0832827573454954,0.039,-3.2441936328524905,6.099999999999999,2,0
67,measurement,0.0582707661654179,0.098,-2.322787800311565,16.5,6,1
68,unitary,0.0832827573454954,0.032,-3.4420193761824103,6.099999999999999,2,0
69,measurement,0.0582707661654179,0.1,-2.3025850929940455,16.5,6,1
70,unitary,0.0832827573454954,0.04,-3.2188758248682006,6.099999999999999,2,0
71,measurement,0.0582707661654179,0.106,-2.24431618487007,16.5,6,1
72,unitary,0.0832827573454954,0.045,-3.101092789211817,6.099999999999999,2,0
73,measurement,0.0582707661654179,0.089,-2.419118909249997,16.5,6,1
74,unitary,0.0832827573454954,0.029,-3.540459448995663,6.099999999999999,2,0
75,measurement,0.0582707661654179,0.1,-2.3025850929940455,16.5,6,1
76,unitary,0.0832827573454954,0.03,-3.506557897319982,6.099999999999999,2,0
77,measurement,0.6931471554088746,0.094,-2.364460496712133,16.5,6,1
78,unitary,0.0832827573454954,0.047,-3.0576076772720784,6.099999999999999,2,0
79,measurement,0.0582707661654179,0.089,-2.419118909249997,16.5,6,1
80,unitary,0.0832827573454954,0.038,-3.270169119255751,6.099999999999999,2,0
81,measurement,0.0582707661654179,0.097,-2.333044300478754,16.5,6,1
82,unitary,0.0832827573454954,0.043,-3.146555163288575,6.099999999999999,2,0
83,measurement,0.0582707661654179,0.11,-2.2072749131897207,16.5,6,1
84,unitary,0.0832827573454954,0.042,-3.170085660698769,6.099999999999999,2,0
85,measurement,0.10263277330000367,0.105,-2.2537949288246137,16.5,6,1
86,unitary,0.0832827573454954,0.032,-3.4420193761824103,6.099999999999999,2,0
87,measurement,0.0582707661654179,0.106,-2.24431618487007,16.5,6,1
88,unitary,0.0832827573454954,0.044,-3.123565645063876,6.099999999999999,2,0
89,measurement,0.0582707661654179,0.085,-2.4651040224918206,16.5,6,1
90,unitary,0.0832827573454954,0.037,-3.2968373663379125,6.099999999999999,2,0
91,measurement,0.0582707661654179,0.103,-2.2730262907525014,16.5,6,1
92,unitary,0.0832827573454954,0.033,-3.4112477175156566,6.099999999999999,2,0
93,measurement,0.0582707661654179,0.097,-2.333044300478754,16.5,6,1
94,unitary,0.0832827573454954,0.043,-3.146555163288575,6.099999999999999,2,0
95,measurement,0.0582707661654179,0.081,-2.513306124309698,16.5,6,1
96,unitary,0.0832827573454954,0.025,-3.6888794541139363,6.099999999999999,2,0
97,measurement,0.0582707661654179,0.103,-2.2730262907525014,16.5,6,1
98,unitary,0.0832827573454954,0.037,-3.2968373663379125,6.099999999999999,2,0
99,measurement,0.0582707661654179,0.095,-2.353878387381596,16.5,6,1
100,unitary,0.0832827573454954,0.05,-2.995732273553991,6.099999999999999,2,0
101,measurement,0.0582707661654179,0.112,-2.1892564076870427,16.5,6,1
102,unitary,0.0832827573454954,0.031,-3.473768074496991,6.099999999999999,2,0
103,measurement,0.05935100405591912,0.107,-2.234926444520231,16.5,6,1
104,unitary,0.0832827573454954,0.031,-3.473768074496991,6.099999999999999,2,0
105,measurement,0.0582707661654179,0.111,-2.198225077669803,16.5,6,1
106,unitary,0.0832827573454954,0.047,-3.0576076772720784,6.099999999999999,2,0
107,measurement,0.0582707661654179,0.125,-2.0794415416798357,16.5,6,1
108,unitary,0.0832827573454954,0.046,-3.079113882493042,6.099999999999999,2,0
109,measurement,0.0582707661654179,0.099,-2.312635428847547,16.5,6,1
110,unitary,0.0832827573454954,0.035,-3.3524072174927233,6.099999999999999,2,0
111,measurement,0.0582707661654179,0.102,-2.282782465697866,16.5,6,1
112,unitary,0.0832827573454954,0.041,-3.1941832122778293,6.099999999999999,2,0
113,measurement,0.11917171608563353,0.094,-2.364460496712133,16.5,6,1
114,unitary,0.0832827573454954,0.039,-3.2441936328524905,6.099999999999999,2,0
115,measurement,0.0582707661654179,0.082,-2.501036031717884,16.5,6,1
116,unitary,0.0832827573454954,0.044,-3.123565645063876,6.099999999999999,2,0
117,measurement,0.0582707661654179,0.107,-2.234926444520231,16.5,6,1
118,unitary,0.0832827573454954,0.043,-3.146555163288575,6.099999999999999,2,0
119,measurement,0.0582707661654179,0.092,-2.385966701933097,16.5,6,1
120,unitary,0.0832827573454954,0.036,-3.3242363405260273,6.099999999999999,2,0
121,measurement,0.0582707661654179,0.079,-2.5383074265151158,16.5,6,1
